date,Biomass  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],Other  - Actual Aggregated [MW]
2015/01/01 00:00,310.0,575.0,1757.0,619.0,1038.0,1046.0,0.0,513.0,48.0
2015/01/01 01:00,307.0,454.0,1757.0,554.0,967.0,705.0,0.0,513.0,43.0
2015/01/01 02:00,310.0,446.0,1757.0,308.0,568.0,474.0,0.0,551.0,41.0
2015/01/01 03:00,316.0,446.0,1756.0,0.0,392.0,401.0,0.0,597.0,41.0
2015/01/01 04:00,315.0,448.0,1757.0,0.0,404.0,168.0,0.0,706.0,41.0
2015/01/01 05:00,316.0,448.0,1758.0,0.0,410.0,152.0,0.0,721.0,40.0
2015/01/01 06:00,316.0,448.0,1758.0,0.0,569.0,125.0,0.0,765.0,41.0
2015/01/01 07:00,323.0,449.0,1757.0,0.0,632.0,249.0,0.0,726.0,41.0
2015/01/01 08:00,320.0,449.0,1648.0,17.0,534.0,419.0,0.0,866.0,42.0
2015/01/01 09:00,321.0,448.0,1423.0,22.0,754.0,384.0,51.0,845.0,41.0
2015/01/01 10:00,325.0,445.0,1384.0,22.0,759.0,259.0,177.0,801.0,42.0
2015/01/01 11:00,326.0,441.0,1385.0,22.0,636.0,267.0,253.0,777.0,41.0
2015/01/01 12:00,328.0,435.0,1395.0,154.0,665.0,296.0,279.0,623.0,42.0
2015/01/01 13:00,328.0,432.0,1522.0,189.0,690.0,293.0,290.0,352.0,41.0
2015/01/01 14:00,323.0,427.0,1721.0,226.0,548.0,645.0,283.0,218.0,41.0
2015/01/01 15:00,320.0,395.0,1757.0,169.0,492.0,433.0,258.0,132.0,39.0
2015/01/01 16:00,323.0,494.0,1757.0,179.0,332.0,469.0,196.0,89.0,40.0
2015/01/01 17:00,327.0,557.0,1755.0,303.0,441.0,786.0,75.0,114.0,40.0
2015/01/01 18:00,324.0,701.0,1755.0,935.0,844.0,1184.0,2.0,167.0,39.0
2015/01/01 19:00,326.0,774.0,1755.0,1130.0,1012.0,1240.0,0.0,223.0,41.0
2015/01/01 20:00,321.0,785.0,1756.0,1142.0,997.0,1244.0,0.0,274.0,40.0
2015/01/01 21:00,317.0,811.0,1757.0,1100.0,1072.0,1240.0,0.0,240.0,40.0
2015/01/01 22:00,315.0,809.0,1757.0,1091.0,996.0,1245.0,0.0,226.0,40.0
2015/01/01 23:00,313.0,801.0,1756.0,969.0,1060.0,881.0,0.0,188.0,39.0
2015/01/02 00:00,312.0,565.0,1756.0,123.0,990.0,468.0,0.0,151.0,39.0
2015/01/02 01:00,315.0,441.0,1753.0,58.0,734.0,287.0,0.0,145.0,39.0
2015/01/02 02:00,314.0,447.0,1708.0,14.0,824.0,271.0,0.0,188.0,40.0
2015/01/02 03:00,317.0,448.0,1566.0,1.0,482.0,216.0,0.0,244.0,40.0
2015/01/02 04:00,319.0,447.0,1578.0,2.0,548.0,209.0,0.0,289.0,40.0
2015/01/02 05:00,314.0,449.0,1562.0,21.0,595.0,202.0,0.0,303.0,39.0
2015/01/02 06:00,319.0,495.0,1699.0,21.0,792.0,432.0,0.0,344.0,40.0
2015/01/02 07:00,317.0,558.0,1756.0,206.0,973.0,288.0,0.0,416.0,41.0
2015/01/02 08:00,316.0,734.0,1756.0,292.0,872.0,397.0,0.0,471.0,39.0
2015/01/02 09:00,318.0,949.0,1756.0,712.0,948.0,872.0,52.0,504.0,44.0
2015/01/02 10:00,306.0,1077.0,1756.0,955.0,1063.0,1043.0,178.0,489.0,49.0
2015/01/02 11:00,304.0,1245.0,1756.0,628.0,1075.0,1104.0,250.0,367.0,49.0
2015/01/02 12:00,294.0,1248.0,1756.0,634.0,1154.0,1102.0,276.0,178.0,48.0
2015/01/02 13:00,295.0,1239.0,1756.0,565.0,1153.0,966.0,283.0,76.0,49.0
2015/01/02 14:00,298.0,1232.0,1756.0,514.0,1142.0,622.0,268.0,25.0,50.0
2015/01/02 15:00,281.0,1313.0,1755.0,553.0,1203.0,645.0,246.0,22.0,49.0
2015/01/02 16:00,274.0,1368.0,1755.0,768.0,1183.0,642.0,189.0,43.0,51.0
2015/01/02 17:00,271.0,1506.0,1755.0,536.0,1135.0,647.0,74.0,106.0,50.0
2015/01/02 18:00,275.0,1580.0,1755.0,890.0,1397.0,1178.0,3.0,235.0,51.0
2015/01/02 19:00,274.0,1713.0,1755.0,1016.0,1457.0,1177.0,0.0,274.0,49.0
2015/01/02 20:00,274.0,1720.0,1755.0,1025.0,1554.0,1179.0,0.0,277.0,50.0
2015/01/02 21:00,276.0,1726.0,1755.0,849.0,1464.0,1169.0,0.0,235.0,50.0
2015/01/02 22:00,268.0,1718.0,1756.0,429.0,1441.0,781.0,0.0,275.0,50.0
2015/01/02 23:00,268.0,1635.0,1755.0,371.0,1399.0,632.0,0.0,274.0,49.0
2015/01/03 00:00,271.0,1061.0,1756.0,30.0,990.0,454.0,0.0,285.0,42.0
2015/01/03 01:00,281.0,672.0,1722.0,30.0,587.0,255.0,0.0,265.0,40.0
2015/01/03 02:00,287.0,664.0,1592.0,1.0,551.0,137.0,0.0,266.0,41.0
2015/01/03 03:00,284.0,665.0,1540.0,0.0,439.0,133.0,0.0,261.0,40.0
2015/01/03 04:00,287.0,666.0,1542.0,0.0,409.0,133.0,0.0,237.0,39.0
2015/01/03 05:00,290.0,666.0,1536.0,0.0,644.0,124.0,0.0,209.0,40.0
2015/01/03 06:00,291.0,666.0,1527.0,0.0,671.0,146.0,0.0,182.0,41.0
2015/01/03 07:00,285.0,668.0,1620.0,36.0,781.0,300.0,0.0,167.0,41.0
2015/01/03 08:00,304.0,668.0,1678.0,67.0,890.0,475.0,0.0,188.0,39.0
2015/01/03 09:00,317.0,727.0,1755.0,280.0,1076.0,626.0,51.0,188.0,41.0
2015/01/03 10:00,327.0,832.0,1754.0,388.0,1188.0,1036.0,176.0,164.0,42.0
